Permission code,Category,Permission name,Risk level,MFA required,Admin,Dispatcher,Guard,Recruiting & Licensing,Scheduler,Supervisor
licensing.view,Licensing,View licensing center,standard,Yes,Granted,,,Granted,,
notifications.manage,Notifications,Manage notifications,sensitive,Yes,Granted,,,,,Granted
notifications.view,Notifications,View notifications,standard,Yes,Granted,Granted,,Granted,Granted,Granted
operations.view,Operations,View operations dashboard,standard,No,Granted,Granted,Granted,Granted,Granted,Granted
patrol.manage,Patrol,Manage patrol,sensitive,Yes,Granted,,,,Granted,Granted
patrol.view,Patrol,View patrol,standard,Yes,Granted,Granted,,,Granted,Granted
reports.export,Reports,Export reports,sensitive,Yes,Granted,,,,,Granted
reports.view,Reports,View reports,standard,Yes,Granted,Granted,,Granted,Granted,Granted
schedule.acknowledgments.manage,Schedule,Manage schedule acknowledgments,sensitive,Yes,Granted,,,,Granted,Granted
schedule.delete_shift,Schedule,Remove shifts,critical,Yes,Granted,,,,Granted,Granted
schedule.manage,Schedule,Manage schedule,sensitive,Yes,Granted,,,,Granted,Granted
schedule.override_warnings,Schedule,Override schedule warnings,critical,Yes,Granted,,,,Granted,Granted
schedule.publish,Schedule,Publish schedule,critical,Yes,Granted,,,,Granted,Granted
schedule.view,Schedule,View schedule,standard,No,Granted,Granted,Granted,,Granted,Granted
scheduler.manage,Scheduler,Manage scheduler workspace,sensitive,Yes,Granted,,,,Granted,Granted
scheduler.view,Scheduler,View scheduler workspace,standard,Yes,Granted,Granted,,,Granted,Granted
shift_pool.manage,Shift Pool,Manage shift pool,sensitive,Yes,Granted,,,,Granted,Granted
shift_pool.view,Shift Pool,View shift pool,standard,No,Granted,Granted,Granted,,Granted,Granted
sites.manage,Sites & Posts,Manage sites and posts,critical,Yes,Granted,,,,Granted,Granted
sites.view,Sites & Posts,View sites and posts,standard,Yes,Granted,Granted,,,Granted,Granted
time.adjustments.review,Time & Attendance,Review Time Adjustments,critical,Yes,Granted,,,,,Granted
time.export_payroll,Time & Attendance,Export payroll,critical,Yes,Granted,,,,,Granted
time.manage,Time & Attendance,Manage time records,critical,Yes,Granted,,,,Granted,Granted
time.manual_entry.create,Time & Attendance,Create Manual Time Entry,critical,Yes,Granted,,,,,Granted
time.manual_entry.edit,Time & Attendance,Edit Manual Time Entry,critical,Yes,Granted,,,,,Granted
time.override_payroll_assignment,Time & Attendance,Correct payroll batch assignment,critical,Yes,Granted,,,,,
time.punch,Time & Attendance,Use time clock,standard,No,Granted,Granted,Granted,Granted,Granted,Granted
time.reports.view,Time & Attendance,View Timekeeping Reports,sensitive,Yes,Granted,Granted,,,Granted,Granted
time.resolve_exceptions,Time & Attendance,Resolve payroll exceptions,critical,Yes,Granted,,,,Granted,
time.self.view,Time & Attendance,View own time,standard,No,Granted,Granted,Granted,Granted,Granted,Granted
time.view,Time & Attendance,View team time records,standard,Yes,Granted,,Granted,,Granted,Granted
requests.manage,Time-Off Requests,Manage requests,critical,Yes,Granted,,,,Granted,Granted
requests.view,Time-Off Requests,View requests,standard,Yes,Granted,Granted,Granted,,Granted,Granted
training.export,Training,Export training records,sensitive,Yes,Granted,,,,,
training.manage,Training,Manage training,critical,Yes,Granted,,,,,
training.view,Training,View assigned training,standard,No,Granted,Granted,Granted,Granted,Granted,Granted
